154	[406, 234, 250, 191, 896, 123, 457, 813, 195, 270, 836, 199, 183, 225, 354, 269, 423, 45, 231, 23, 732, 643, 187, 849, 233, 537, 28, 826]
155	[671, 733, 858, 415, 506, 642, 94, 581, 171, 278, 854, 655, 638, 676, 383, 84, 705, 540, 306, 950, 168, 107, 583]
156	[122, 75, 16, 248, 282, 387, 285, 843, 251, 745, 909, 714, 990, 82, 61, 335, 800, 672]
157	[297, 67, 216, 561, 897, 211, 888, 910, 230, 435, 519, 911, 925, 173, 533, 991, 295, 673, 382]
158	[775, 430, 255, 608, 443, 142, 767, 194, 242, 244, 345, 334, 350, 873, 357, 543, 560, 153, 615, 995, 636, 790, 891, 749, 885]
159	[160, 318, 464, 513, 545, 55, 73, 262, 449, 204, 284, 803, 215, 585, 373, 298, 791, 398]
160	[668, 148, 322, 815, 318, 464, 47, 465, 513, 791, 879, 159, 545, 55, 215, 284, 60, 697, 424, 262, 138, 884, 125]
161	[662, 202, 239, 419, 458, 473, 446, 500, 814, 489, 117, 476, 855, 485, 632, 958, 219, 261, 370, 185, 243]
162	[664, 298, 408, 765, 20, 165, 993, 235, 237, 899, 502, 433, 331, 551, 704, 275, 462, 845, 890, 130, 201, 421]
163	[783, 296, 650, 804, 288, 30, 919, 660, 719, 81, 760, 368, 100, 889, 942, 417, 453, 882]
164	[517, 120, 400, 835, 447, 972, 703, 257, 111, 905, 949, 118, 497, 807, 723, 798, 286, 287, 926, 709]
165	[907, 298, 105, 502, 189, 358, 373, 924, 421, 20, 235, 237, 860, 433, 551, 162, 331, 664, 130, 704, 890, 201, 845, 275]
166	[463, 143, 351, 522, 281, 908, 761, 385, 965, 600, 848, 92, 550, 83, 728, 819, 536, 29, 693, 862, 104, 576, 364, 181, 196, 499, 715, 14]
167	[115, 403, 914, 590, 858, 874, 916, 901, 6, 54, 857, 701, 538, 300, 232, 818, 743, 987, 575, 310, 63, 226]
168	[84, 94, 171, 68, 695, 552, 854, 306, 590, 747, 155, 540, 821, 676, 278, 583, 655, 731, 886, 222, 431]
169	[182, 816, 992, 631, 615, 739, 935, 936, 242, 927, 91, 397, 584, 200, 266, 343]
170	[207, 763, 894, 571, 299, 319, 785, 332, 983, 824, 931, 272, 832, 371, 946, 420, 597, 247, 260]
171	[84, 403, 155, 733, 858, 901, 63, 94, 821, 226, 583, 676, 506, 115, 306, 590, 168, 278, 701, 655]
172	[44, 193, 549, 414, 768, 407, 658, 498, 711, 95, 15, 273, 418, 531, 52, 523, 984, 822]
173	[67, 157, 991, 297, 561, 230, 888, 770, 295, 654, 956, 380, 382, 533, 673, 844, 900, 625, 871, 707, 435, 259]
174	[603, 257, 663, 352, 941, 388, 637, 997, 315, 439, 751, 962, 127, 515, 709, 823, 798, 866, 333, 66, 943]
175	[561, 211, 698, 401, 797, 267, 435, 519, 592, 898, 230, 221, 717, 413, 654, 477, 674, 62, 844]
176	[379, 146, 781, 4, 106, 126, 863, 923, 739, 936, 304, 311]
177	[864, 355, 137, 609, 185, 476, 485, 371, 937, 680, 489, 639, 597, 58, 532, 931, 208, 511, 827, 593]
178	[354, 195, 231, 884, 270, 55, 457, 73, 37, 42, 138, 449, 214, 392, 757, 204, 568, 128, 879, 869, 791]
179	[694, 716, 118, 451, 452, 674, 698, 792, 951, 892, 146, 534, 379]
180	[291, 40, 326, 455, 867, 355, 618, 811, 360, 621, 657]
181	[965, 499, 715, 378, 29, 104, 166, 576, 236, 921, 819, 536, 89, 93, 53, 136, 329, 83, 425, 305]
182	[951, 384, 634, 266, 343, 816, 631, 584, 91, 169, 739, 935, 936, 615, 607, 992]
183	[456, 191, 881, 868, 123, 869, 569, 423, 32, 514, 826, 537, 187, 643, 555, 614, 231, 23, 896, 145, 128, 913, 270, 836, 457, 813, 45, 154]
184	[573, 288, 509, 719, 64, 112, 301, 390, 558, 660]
185	[137, 842, 446, 355, 161, 117, 476, 593, 485, 937, 489, 532, 864, 827, 243, 177, 208]
186	[12, 317, 51, 363, 541, 441, 953, 779, 78, 572, 90, 258, 309, 952, 721, 320, 399, 825]
187	[406, 234, 250, 191, 896, 457, 195, 270, 836, 199, 183, 225, 354, 269, 423, 45, 231, 732, 849, 154, 233, 537, 28, 826]
188	[274, 50, 776, 467, 683, 595, 463, 601, 1, 645, 649, 985, 651, 970, 33, 516]
189	[206, 545, 932, 105, 215, 346, 358, 789, 704, 433, 373, 605, 235, 860, 165, 870, 907, 924, 664]
190	[321, 73, 262, 421, 20, 565, 993, 298, 398, 585, 712, 803, 198, 967, 303, 353, 408, 771, 462, 765]
191	[406, 234, 537, 154, 250, 34, 813, 913, 123, 555, 896, 195, 270, 836, 199, 225, 456, 183, 269, 423, 45, 614, 23, 732, 187, 849, 963, 28, 826]
192	[336, 75, 197, 335, 800, 395, 16, 248, 282, 133, 61, 285, 653, 909, 990, 7, 46]
193	[21, 549, 696, 755, 934, 768, 172, 455, 273, 523, 57, 984, 291, 667, 726]
194	[158, 4, 106, 560, 153, 357, 126, 430, 255, 443, 142, 615, 556, 350, 873, 775, 242, 244, 345, 790, 885, 995, 636, 543, 334]
195	[250, 234, 28, 826, 154, 37, 191, 270, 836, 457, 199, 423, 114, 231, 45, 225, 354, 233, 252, 372, 187, 178, 42, 799, 964, 392, 757]
196	[600, 22, 385, 29, 220, 693, 93, 536, 92, 848, 104, 166, 713, 281, 461, 550, 795, 908, 576, 478, 820, 819, 965, 14, 831]
197	[330, 74, 292, 850, 46, 838, 806, 24, 909, 35, 16, 75, 285, 282, 336, 395, 475, 192]
198	[321, 73, 298, 398, 585, 803, 967, 190, 712, 303, 353, 408, 771, 462, 765, 565, 421, 993, 20]
199	[423, 234, 537, 233, 154, 250, 699, 34, 895, 270, 836, 195, 49, 191, 269, 896, 406, 225, 732, 187, 849, 28, 826]
200	[59, 277, 445, 422, 665, 992, 935, 91, 397, 169, 266, 969, 481, 744, 927, 149, 343, 559, 584]
201	[20, 408, 165, 130, 162, 331, 551, 421, 462, 275, 845, 890, 899, 993, 237, 502, 524]
202	[558, 440, 971, 161, 239, 793, 485, 261, 855, 958, 632, 419, 458, 473, 500, 544, 662, 219, 243, 758, 446, 117, 814]
203	[492, 376, 759, 947, 62, 267, 348, 853, 26, 542, 562]
204	[884, 318, 73, 159, 791, 513, 37, 803, 284, 398, 585, 42, 392, 178, 214, 449, 568, 262, 55]
205	[88, 129, 740, 420, 504, 571, 763, 894, 328, 338, 212, 466, 876, 10, 837, 222, 134, 253]
206	[134, 254, 424, 668, 358, 381, 870, 215, 459, 582, 922, 346, 932, 938, 189, 373, 465, 545]
207	[810, 8, 571, 623, 170, 260, 299, 319, 685, 718, 801, 785, 617, 148, 824, 832, 11, 946, 332, 983, 754, 420, 504, 218, 839, 247]
208	[864, 355, 811, 137, 609, 593, 185, 476, 485, 937, 489, 58, 532, 177, 639, 511, 827]
209	[463, 761, 33, 961, 649, 43, 14, 22, 448, 795, 848, 281, 510, 828, 501, 550, 385, 1, 600, 86, 728, 776, 862, 985, 624, 469, 693, 280]
210	[467, 50, 76, 828, 448, 394, 31, 510, 539, 79, 525, 710, 628, 43, 280, 624, 469, 375, 33, 516, 1]
211	[910, 562, 654, 157, 297, 561, 413, 230, 221, 911, 267, 797, 991, 175, 477, 673, 844, 401, 435, 519, 592, 898]
212	[222, 763, 205, 876, 466, 894, 328, 10, 431, 837, 740, 821, 249, 129, 420, 571]
213	[546, 229, 432, 514, 596, 805, 979, 102, 227, 774, 85, 868, 490, 675, 708, 725, 812, 738, 766]
214	[45, 231, 270, 55, 354, 457, 42, 643, 585, 877, 967, 241, 565, 128, 365, 869, 73, 569, 868, 791, 771, 178, 204, 449, 568, 145]
215	[464, 160, 318, 433, 159, 298, 465, 513, 704, 358, 664, 545, 206, 924, 424, 907, 262, 922, 105, 870, 803, 284, 373, 398, 189, 346]
216	[280, 80, 897, 386, 494, 988, 910, 519, 86, 991, 67, 297, 925, 911, 359, 448, 157, 533, 501, 736, 295, 961]
217	[589, 87, 557, 302, 773, 293, 450, 271, 56, 470, 567, 656, 518, 727, 998, 98, 788, 121, 427, 669, 720, 769, 943, 808, 829, 410, 27]
218	[332, 247, 815, 946, 322, 319, 824, 260, 685, 617, 754, 785, 810, 148, 839, 983, 138, 460, 13, 125, 246, 491, 8, 623, 60, 697, 801, 11, 207, 668, 47]
219	[161, 202, 239, 261, 370, 787, 419, 532, 473, 500, 316, 544, 662, 758, 434, 903, 918, 855, 402, 632, 627, 454, 243, 846]
